Citation,PR_ID,Year,ST_OB,ES_ID,CHT_ID,Ecosystem_type,Longitude,Latitude,Study_design,Continent,Region,Country,Climat_type,Source,Variable,Impact_type,Level_ecological_organization,nT,mT,sdT,nC,mC,sdC,num.shared.control,N.control.sc
Ruwanza 2020. Scientific African 10: e00610,PUB21,2020,13,ES289,PUB21_1,Grassland,29.959769,23.103637,Observational,Africa,"Louis Trichardt and Elim, Limpopo Province",South Africa,,Figure 2b,Species relative cover (%) (Trees and shrubs) (Alien),Plant abundance,Community,15,20.3,4.066632514,15,0,0,1,15
Ruwanza 2020. Scientific African 10: e00610,PUB21,2020,14,ES290,PUB21_1,Grassland,29.959769,23.103637,Observational,Africa,"Louis Trichardt and Elim, Limpopo Province",South Africa,,Figure 2b,Species relative cover (%) (Trees and shrubs) (Native),Plant abundance,Community,15,16.09,2.90473751,15,67.36,1.161895004,1,15
Ruwanza 2020. Scientific African 10: e00610,PUB21,2020,15,ES291,PUB21_1,Grassland,29.959769,23.103637,Observational,Africa,"Louis Trichardt and Elim, Limpopo Province",South Africa,,Figure 2c,Species relative cover (%) (Forbs) (Alien),Plant abundance,Community,15,13.85,3.640604345,15,0,0,1,15
Ruwanza 2020. Scientific African 10: e00610,PUB21,2020,16,ES292,PUB21_1,Grassland,29.959769,23.103637,Observational,Africa,"Louis Trichardt and Elim, Limpopo Province",South Africa,,Figure 2c,Species relative cover (%) (Forbs) (Native),Plant abundance,Community,15,15.16,3.640604345,15,39.79,4.725039682,1,15
Ruwanza 2020. Scientific African 10: e00610,PUB21,2020,17,ES293,PUB21_1,Grassland,29.959769,23.103637,Observational,Africa,"Louis Trichardt and Elim, Limpopo Province",South Africa,,Figure 2d,Species relative cover (%) (Grasses) (Alien),Plant abundance,Community,15,10.03,2.362519841,15,0,0,1,15
Ruwanza 2020. Scientific African 10: e00610,PUB21,2020,18,ES294,PUB21_1,Grassland,29.959769,23.103637,Observational,Africa,"Louis Trichardt and Elim, Limpopo Province",South Africa,,Figure 2d,Species relative cover (%) (Grasses) (Native),Plant abundance,Community,15,14.41,2.943467343,15,20,4.647580015,1,15
Dobhal et al. 2010. International Journal of Biodiversity and Conservation 2(7): 155-161,PUB22,2010,1,ES295,PUB22_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Soil Potassium (mg / kg),Macronutrients,Ecosystem,16,197,81.4,16,216,82.3,1,16
Dobhal et al. 2010. International Journal of Biodiversity and Conservation 2(7): 155-161,PUB22,2010,2,ES296,PUB22_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Soil Calcium (mEq /100 g),Macronutrients,Ecosystem,16,0.49,0.3,16,0.65,0.26,1,16
Dobhal et al. 2010. International Journal of Biodiversity and Conservation 2(7): 155-161,PUB22,2010,3,ES297,PUB22_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Soil Magnesium (mEq /100 g),Macronutrients,Ecosystem,16,0.38,0.45,16,0.42,0.49,1,16
Dobhal et al. 2010. International Journal of Biodiversity and Conservation 2(7): 155-161,PUB22,2010,4,ES298,PUB22_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Soil Nitrogen (kg/ ha),N pools,Ecosystem,16,268,47.3,16,380,57.7,1,16
Dobhal et al. 2010. International Journal of Biodiversity and Conservation 2(7): 155-161,PUB22,2010,5,ES299,PUB22_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Soil Phosphorus (kg/ ha),P pools,Ecosystem,16,20.3,4.61,16,27,5.43,1,16
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,1,ES300,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Total plant species richness,Plant richness,Community,48,34.33,2.08,48,54,7,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,2,ES301,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Total plant species richness (climbers),Plant richness,Community,48,6.33,0.58,48,9.33,2.52,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,3,ES302,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Total plant species richness (herbs),Plant richness,Community,576,13,4.36,576,24.67,2.08,1,576
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,4,ES303,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Total plant species richness (shrubs),Plant richness,Community,48,8.33,3.21,48,8.67,2.08,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,5,ES304,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Total plant species richness (trees),Plant richness,Community,48,4.33,0.58,48,7.33,2.31,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,6,ES305,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 2,Total plant species richness (under shrubs),Plant richness,Community,48,2.67,1.53,48,4,1,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,7,ES306,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Number of plant species (N0),Plant richness,Community,48,22,4.07,48,31.5,6.24,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,8,ES307,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Peet index (P),Plant richness,Community,48,451.47,165.01,48,842.35,291.59,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,9,ES308,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Margalef index (R1) ,Plant richness,Community,48,1.11,0.14,48,3.5,0.53,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,10,ES309,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Menhinick index (R2),Plant richness,Community,48,0.78,0.16,48,4.68,1.22,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,11,ES310,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Fisher's diversity index,Plant diversity,Community,48,5.05,0.84,48,6.87,1.3,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,12,ES311,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Shannon’s index (H'),Plant diversity,Community,48,2.36,0.32,48,2.61,0.32,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,13,ES312,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Simpson's index,Plant diversity,Community,48,0.14,0.06,48,0.12,0.05,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,14,ES313,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Hills number N1,Plant diversity,Community,48,11.07,3.56,48,14.29,4.42,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,15,ES314,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Hills number N2,Plant diversity,Community,48,8.11,3.19,48,9.91,3.71,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,16,ES315,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Evenness E1,Plant diversity,Community,48,0.77,0.07,48,0.76,0.07,1,48
Dobhal et al. 2011. Journal of Ecology and the Natural Environment 3(1): 11-22,PUB23,2011,17,ES316,PUB23_1,Riparian,78.7568019,30.143157,Observational,Asia-Tropical,"Pauri Garhwal, Uttarakhand",India,Sub-tropical,Table 4,Evenness E2,Plant diversity,Community,48,0.5,0.1,48,0.45,0.09,1,48
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,1,ES317,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil pH,pH,Ecosystem,30,6.8,0.3,30,6.3,0.5,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,2,ES318,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil Magnesium (mg /kg),Macronutrients,Ecosystem,30,825,132,30,721.1,126,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,3,ES319,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil Calcium (mg /kg),Macronutrients,Ecosystem,30,235.5,63.8,30,190.5,5.5,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,4,ES320,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil Potassium (mg /kg),Macronutrients,Ecosystem,30,121.5,45.7,30,81,15.4,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,5,ES321,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil total Carbon (%),C pools,Ecosystem,30,3.2,0.3,30,3.1,0.5,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,6,ES322,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil Phosphorus (mg /kg),P pools,Ecosystem,30,6.5,2.2,30,9.6,1.2,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,7,ES323,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil Nitrogen (%),N pools,Ecosystem,30,0.2,0.4,30,0.3,0,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,8,ES324,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Soil Conductivity (s/cm),Salinity,Ecosystem,30,228.7,75.5,30,167.4,85.8,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,9,ES325,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Sand (%),Soil texture,Ecosystem,30,29.7,4.2,30,32.6,4.7,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,10,ES326,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Silt (%),Soil texture,Ecosystem,30,26.1,2.8,30,26,3,1,30
Simba et al. 2013. International Journal of Biodiversity and Conservation 5(12): 803-809,PUB24,2013,11,ES327,PUB24_1,National Park,36.8507365,-1.3730339,Observational,Africa,Nairobi national park,Kenya,,Table 1,Clay (%),Soil texture,Ecosystem,30,44.2,4.2,30,41.8,3.6,1,30
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,1,ES328,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Sand (%) (0-10cm),Soil texture,Ecosystem,9,66.67,4.98,9,68.09,6.69,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,2,ES329,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Sand (%) (10-20cm),Soil texture,Ecosystem,9,66.5,6.24,9,67.8,5.7,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,3,ES330,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Sand (%) (20-30cm),Soil texture,Ecosystem,9,66.77,5.88,9,67.91,5.7,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,4,ES331,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Silt (%) (0-10cm),Soil texture,Ecosystem,9,21.02,4.41,9,21.1,4.68,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,5,ES332,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Silt (%) (10-20cm),Soil texture,Ecosystem,9,21.14,3.18,9,21.07,6.75,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,6,ES333,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Silt (%) (20-30cm),Soil texture,Ecosystem,9,22.41,8.55,9,20.33,6.87,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,7,ES334,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Clay (%) (0-10cm),Soil texture,Ecosystem,9,12.31,3.09,9,10.81,4.65,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,8,ES335,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Clay (%) (10-20cm),Soil texture,Ecosystem,9,12.36,3.66,9,11.13,4.26,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,9,ES336,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Clay (%) (20-30cm),Soil texture,Ecosystem,9,10.82,4.8,9,11.76,3.06,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,10,ES337,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil moisture (%) (0-10cm),Soil moisture,Ecosystem,9,20.59,3.21,9,19.6,1.5,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,11,ES338,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil moisture (%) (10-20cm),Soil moisture,Ecosystem,9,16.86,4.77,9,16.76,3.06,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,12,ES339,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil moisture (%) (20-30cm),Soil moisture,Ecosystem,9,14.69,3.84,9,14.58,1.74,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,13,ES340,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil organic Carbon (%) (0-10cm),C pools,Ecosystem,9,2.45,0.39,9,1.97,0.69,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,14,ES341,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil organic Carbon (%) (10-20cm),C pools,Ecosystem,9,1.65,0.27,9,1.26,0.69,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,15,ES342,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil organic Carbon (%) (20-30cm),C pools,Ecosystem,9,1.05,0.39,9,0.83,0.42,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,16,ES343,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,pH (0-10cm),pH,Ecosystem,9,5.85,0.78,9,5.84,0.84,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,17,ES344,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,pH (10-20cm),pH,Ecosystem,9,5.94,1.38,9,5.92,0.45,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,18,ES345,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,pH (20-30cm),pH,Ecosystem,9,6.19,1.92,9,6.23,0.3,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,19,ES346,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil total Nitrogen (%) (0-10cm),N pools,Ecosystem,9,0.22,0.06,9,0.17,0.09,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,20,ES347,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil total Nitrogen (%) (10-20cm),N pools,Ecosystem,9,0.16,0.03,9,0.13,0.09,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,21,ES348,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil total Nitrogen (%) (20-30cm),N pools,Ecosystem,9,0.08,0.03,9,0.07,0.03,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,22,ES349,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil available Potassium (%) (0-10cm),Macronutrients,Ecosystem,9,0.41,0.06,9,0.38,0.09,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,23,ES350,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil available Potassium (%) (10-20cm),Macronutrients,Ecosystem,9,0.32,0.15,9,0.26,0.03,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,24,ES351,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil available Potassium (%) (20-30cm),Macronutrients,Ecosystem,9,0.19,0.03,9,0.2,0.03,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,25,ES352,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil available Phosphorous (%) (0-10cm),P pools,Ecosystem,9,0.011,0.006,9,0.009,0.006,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,26,ES353,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil available Phosphorous (%) (10-20cm),P pools,Ecosystem,9,0.008,0.003,9,0.007,0.003,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,27,ES354,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,Soil available Phosphorous (%) (20-30cm),P pools,Ecosystem,9,0.006,0.003,9,0.005,0.003,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,28,ES355,PUB25_1,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,OC/N ratio  (0-10cm),C/N,Ecosystem,9,11.3,1.29,9,11.68,1.92,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,29,ES356,PUB25_2,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,OC/N ratio  (10-20cm),C/N,Ecosystem,9,10.16,3.57,9,10.49,4.29,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,30,ES357,PUB25_3,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Table 2,OC/N ratio  (20-30cm),C/N,Ecosystem,9,11.91,8.55,9,12.54,5.82,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,31,ES358,PUB25_4,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (0-10cm) (Rainy season),C pools,Ecosystem,9,599.4,22.65668338,9,513.7,20.86358906,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,32,ES359,PUB25_5,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (0-10cm) (Summer season),C pools,Ecosystem,9,545.5,26.68585926,9,469.2,11.28337402,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,33,ES360,PUB25_6,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (0-10cm) (Winter season),C pools,Ecosystem,9,514.3,29.86620135,9,441.5,10.25702917,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,34,ES361,PUB25_7,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (10-20cm) (Rainy season),C pools,Ecosystem,9,293.3,30.9423466,9,271.2,22.37142722,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,35,ES362,PUB25_8,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (10-20cm) (Summer season),C pools,Ecosystem,9,277.8,23.35064861,9,249.2,15.70460499,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,36,ES363,PUB25_9,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (10-20cm) (Winter season),C pools,Ecosystem,9,254,26.03652035,9,243.2,33.13884418,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,37,ES364,PUB25_10,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (20-30cm) (Rainy season),C pools,Ecosystem,9,200.1,29.72528001,9,182.9,16.77476173,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,38,ES365,PUB25_11,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (20-30cm) (Summer season),C pools,Ecosystem,9,194.2,21.36160463,9,173.9,9.215030354,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,39,ES366,PUB25_12,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon (20-30cm) (Winter season),C pools,Ecosystem,9,182.3,18.47875918,9,175.2,14.11011324,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,40,ES367,PUB25_4,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (0-10cm) (Rainy season),N pools,Ecosystem,9,79.2,3.485665712,9,70.6,2.492024016,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,41,ES368,PUB25_5,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (0-10cm) (Summer season),N pools,Ecosystem,9,72.03,1.661892297,9,65.88,5.147899358,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,42,ES369,PUB25_6,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (0-10cm) (Winter season),N pools,Ecosystem,9,65.67,4.01462384,9,61.15,2.990171317,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,43,ES370,PUB25_7,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (10-20cm) (Rainy season),N pools,Ecosystem,9,55.06,6.704777344,9,49.18,5.152863822,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,44,ES371,PUB25_8,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (10-20cm) (Summer season),N pools,Ecosystem,9,49.31,5.72970599,9,43.98,3.372351334,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,45,ES372,PUB25_9,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (10-20cm) (Winter season),N pools,Ecosystem,9,41.65,6.07542802,9,31.17,18.18974819,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,46,ES373,PUB25_10,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (20-30cm) (Rainy season),N pools,Ecosystem,9,29.68,7.700389249,9,32,4.73225561,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,47,ES374,PUB25_11,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (20-30cm) (Summer season),N pools,Ecosystem,9,25.03,5.294677469,9,27.83,3.881924689,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,48,ES375,PUB25_12,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen (20-30cm) (Winter season),N pools,Ecosystem,9,21.58,3.69141257,9,22,4.338649539,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,49,ES376,PUB25_4,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (0-10cm) (Rainy season),C pools,Ecosystem,9,3.61,0.199952388,9,2.49,0.109103864,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,50,ES377,PUB25_5,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (0-10cm) (Summer season),C pools,Ecosystem,9,2.33,0.117204506,9,1.96,0.029852069,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,51,ES378,PUB25_6,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (0-10cm) (Winter season),C pools,Ecosystem,9,2.22,0.078721214,9,1.81,0.034225469,1,9
